Alien Breed 3: Descent,Feb 22- 2011,XGN,60
Alien Breed 3: Descent,Feb 22- 2011,GamerNode,60
Alien Breed 3: Descent,Feb 22- 2011,Metacritic,64
Alien Breed: Impact,Oct 5- 2010,ZTGameDomain,80
Alien Breed: Impact,Oct 5- 2010,RealGamer,80
Alien Breed: Impact,Oct 5- 2010,IGN,75
Alien Breed: Impact,Oct 5- 2010,TheSixthAxis,70
Alien Breed: Impact,Oct 5- 2010,PSFocus,68
Alien Breed: Impact,Oct 5- 2010,TotalPlayStation,65
Alien Breed: Impact,Oct 5- 2010,Gamestyle,60
Alien Breed: Impact,Oct 5- 2010,Metacritic,71
Alien Zombie Megadeath,Jun 21- 2011,IGN,85
Alien Zombie Megadeath,Jun 21- 2011,GamePro,80
Alien Zombie Megadeath,Jun 21- 2011,Eurogamer,80
Aliens vs. Predator,Feb 16- 2010,Playstation Official Magazine Australia,90
Aliens vs. Predator,Feb 16- 2010,IGN UK,85
Aliens vs. Predator,Feb 16- 2010,ImpulseGamer,85
Aliens vs. Predator,Feb 16- 2010,GamingXP,84
Aliens vs. Predator,Feb 16- 2010,Gamers.at,81
Aliens vs. Predator,Feb 16- 2010,Vandal Online,81
Aliens vs. Predator,Feb 16- 2010,Thunderbolt,80
Aliens vs. Predator,Feb 16- 2010,PSFocus,80
Aliens vs. Predator,Feb 16- 2010,Playstation: The Official Magazine (US),80
Aliens vs. Predator,Feb 16- 2010,Play UK,79
Aliens vs. Predator,Feb 16- 2010,Gamervision,78
Aliens vs. Predator,Feb 16- 2010,3DJuegos,78
Aliens vs. Predator,Feb 16- 2010,Strategy Informer,75
Aliens vs. Predator,Feb 16- 2010,Meristation,75
Aliens vs. Predator,Feb 16- 2010,SpazioGames,73
Aliens vs. Predator,Feb 16- 2010,PSX Extreme,72
Aliens vs. Predator,Feb 16- 2010,Gamestyle,70
Aliens vs. Predator,Feb 16- 2010,VideoGamer,70
Aliens vs. Predator,Feb 16- 2010,GameDaily,70
Aliens vs. Predator,Feb 16- 2010,Eurogamer Spain,70
Aliens vs. Predator,Feb 16- 2010,Eurogamer Italy,70
Aliens vs. Predator,Feb 16- 2010,IGN,70
Aliens vs. Predator,Feb 16- 2010,Game Over Online,70
Aliens vs. Predator,Feb 16- 2010,TotalPlayStation,70
Aliens vs. Predator,Feb 16- 2010,ZTGameDomain,70
Aliens vs. Predator,Feb 16- 2010,XGN,70
Aliens vs. Predator,Feb 16- 2010,Digital Chumps,70
Aliens vs. Predator,Feb 16- 2010,MEGamers,69
Aliens vs. Predator,Feb 16- 2010,GamingExcellence,67
Aliens vs. Predator,Feb 16- 2010,AceGamez,65
Aliens vs. Predator,Feb 16- 2010,HellBored,65
Aliens vs. Predator,Feb 16- 2010,Games Master UK,64
Aliens vs. Predator,Feb 16- 2010,InsideGamer.nl,63
Aliens vs. Predator,Feb 16- 2010,Playstation Official Magazine UK,60
Aliens vs. Predator,Feb 16- 2010,Gamer.nl,60
Aliens vs. Predator,Feb 16- 2010,Level7.nu,60
Aliens vs. Predator,Feb 16- 2010,TheSixthAxis,60
Aliens vs. Predator,Feb 16- 2010,PS3bloggen.se,60
Aliens vs. Predator,Feb 16- 2010,Cynamite,60
